priority,year,year_slug,term,week_of_term,week_of_year,word,category,statutory,difficulty_rank,focus,origin_candidate,origin_hint,status,definition,example_sentence,origin,notes
180,2,year2,spring,1,16,wild,common-exception,,4,common exception words,,,done,"Living or growing freely in nature, not kept as a pet or grown on a farm.",We spotted a wild deer at the edge of the forest.,,
181,2,year2,spring,2,17,after,common-exception,,5,common exception words,,,done,"Later than something, or coming next in time.",We always brush our teeth after breakfast.,,
182,2,year2,spring,2,17,beautiful,common-exception,,5,common exception words,,,done,Very pleasing to look at or listen to.,The sunset over the hills was absolutely beautiful.,,
183,2,year2,spring,2,17,break,common-exception,,5,common exception words,,,done,To split something into two or more pieces.,Please don't break the crayons in half.,,
184,2,year2,spring,2,17,even,common-exception,,5,common exception words,,,done,"A number that can be shared exactly between two people with none left over, like 2, 4 or 6.",Four is an even number because you can split it in half exactly.,,
185,2,year2,spring,2,17,every,common-exception,,5,common exception words,,,done,"Each one, with none left out.",Every seat in the theatre was full.,,
186,2,year2,spring,2,17,everybody,common-exception,,5,common exception words,,,done,Every person — all the people in a group.,Everybody cheered when the team scored a goal.,,
187,2,year2,spring,2,17,gold,common-exception,,5,common exception words,,,done,"A shiny yellow metal that is very valuable, or a bright yellow colour like it.",The winner was given a gold medal to wear round her neck.,,
188,2,year2,spring,2,17,great,common-exception,,5,common exception words,,,done,"Very good, or very large in size or amount.",We had a great time at the seaside on Saturday.,,
189,2,year2,spring,2,17,hold,common-exception,,5,common exception words,,,done,To carry or grip something in your hands or arms.,Please hold my hand while we cross the road.,,
190,2,year2,spring,2,17,pretty,common-exception,,5,common exception words,,,done,Nice to look at — attractive in a delicate or charming way.,She picked a pretty flower from the garden.,,
191,2,year2,spring,2,17,steak,common-exception,,5,common exception words,,,done,"A thick slice of meat, often cooked on a grill or in a pan.",Dad cooked steak and vegetables for Sunday dinner.,,
192,2,year2,spring,2,17,told,common-exception,,5,common exception words,,,done,"Said something to someone, or gave them information (the past tense of 'tell').",She told her friend a funny story at lunchtime.,,
193,2,year2,spring,3,18,bath,common-exception,,5,common exception words,,,done,A large tub you fill with water to wash your whole body in.,I always have a warm bath before bedtime.,,
194,2,year2,spring,3,18,class,common-exception,,5,common exception words,,,done,"A group of pupils who learn together, or a group of things of the same kind.",Our class is going on a trip to the museum.,,
195,2,year2,spring,3,18,fast,common-exception,,5,common exception words,,,done,Moving or happening quickly.,He can run really fast across the playground.,,
196,2,year2,spring,3,18,father,common-exception,,5,common exception words,,,done,A male parent.,Her father picks her up from school on Fridays.,,
197,2,year2,spring,3,18,grass,common-exception,,5,common exception words,,,done,"The green plants that cover fields, parks and lawns.",We had a picnic sitting on the grass.,,
198,2,year2,spring,3,18,hour,common-exception,,5,common exception words,,,done,A unit of time equal to sixty minutes.,The film lasts about an hour and a half.,,
199,2,year2,spring,3,18,last,common-exception,,5,common exception words,,,done,"Coming after all the others, or most recent.",She was the last person to leave the classroom.,,
200,2,year2,spring,3,18,move,common-exception,,5,common exception words,,,done,To go from one place or position to another.,"Could you move your bag off the chair, please?",,
201,2,year2,spring,3,18,pass,common-exception,,5,common exception words,,,done,"To go past something, or to hand something to someone.","Could you pass the salt, please?",,
202,2,year2,spring,3,18,past,common-exception,,5,common exception words,,,done,"Time that has already happened, or going beyond something.","In the past, people didn't have mobile phones.",,
203,2,year2,spring,3,18,path,common-exception,,5,common exception words,,,done,A narrow track for walking along.,We followed the path through the woods.,,
204,2,year2,spring,3,18,plant,common-exception,,5,common exception words,,,done,"A living thing that grows in soil, like a flower or tree, or to put seeds in the ground.",She helped Grandad plant sunflower seeds in the garden.,,
205,2,year2,spring,4,19,again,common-exception,,5,common exception words,,,done,"One more time, or once more.","Can you read that story again, please?",,
206,2,year2,spring,4,19,any,common-exception,,5,common exception words,,,done,"Some, or even a small amount, of something.",Is there any milk left in the fridge?,,
207,2,year2,spring,4,19,busy,common-exception,,5,common exception words,,,done,"Having a lot to do, or full of activity.",The high street was busy with shoppers on Saturday.,,
208,2,year2,spring,4,19,clothes,common-exception,,5,common exception words,,,done,"The things people wear, like trousers, jumpers and coats.",Please put your dirty clothes in the wash basket.,,
209,2,year2,spring,4,19,eye,common-exception,,5,common exception words,,,done,The part of your body you use to see with.,She winked one eye at her friend.,,
210,2,year2,spring,4,19,improve,common-exception,,5,common exception words,,,done,To get better at something.,Practising every day will help you improve your spelling.,,
211,2,year2,spring,4,19,many,common-exception,,5,common exception words,,,done,A large number of something.,There were many children waiting at the bus stop.,,
212,2,year2,spring,4,19,prove,common-exception,,5,common exception words,,,done,To show that something is definitely true.,The photos prove that we really did visit the castle.,,
213,2,year2,spring,4,19,sugar,common-exception,,5,common exception words,,,done,A sweet substance used to make food and drinks taste sweeter.,"Just one spoonful of sugar in my tea, please.",,
214,2,year2,spring,4,19,sure,common-exception,,5,common exception words,,,done,"Certain, without any doubt.",Are you sure you packed your PE kit?,,
215,2,year2,spring,4,19,who,common-exception,,5,common exception words,,,done,Which person — used to ask about or describe a person.,Who left their coat on the floor?,,
216,2,year2,spring,4,19,whole,common-exception,,5,common exception words,,,done,"All of something, complete, with nothing missing.",She ate the whole apple in one go.,,
217,2,year2,spring,5,20,Christmas,common-exception,,5,common exception words,,,done,"A celebration on 25th December, when many people give gifts and decorate trees.",We put the tree up two weeks before Christmas.,,
218,2,year2,spring,5,20,Mr,common-exception,,5,common exception words,,,done,A short title used before a man's name.,Mr Johnson teaches us maths on Tuesdays.,,
219,2,year2,spring,5,20,Mrs,common-exception,,5,common exception words,,,done,A short title used before a married woman's name.,Mrs Patel runs the school office.,,
220,2,year2,spring,5,20,half,common-exception,,5,common exception words,,,done,One of two equal parts of something.,Can I have half of your sandwich?,,
221,2,year2,spring,5,20,money,common-exception,,5,common exception words,,,done,Coins and notes used to buy and pay for things.,She saved her pocket money for a new bike.,,
222,2,year2,spring,5,20,parents,common-exception,,5,common exception words,,,done,A person's mother and father.,Both of my parents came to the school concert.,,
223,3,year3,autumn,2,2,accidentally,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
224,3,year3,autumn,2,2,actually,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
225,3,year3,autumn,2,2,address,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
226,3,year3,autumn,2,2,answer,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
227,3,year3,autumn,2,2,appear,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
228,3,year3,autumn,2,2,arrive,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
229,3,year3,autumn,2,2,believe,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
230,3,year3,autumn,2,2,bicycle,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
231,3,year3,autumn,2,2,breath,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
232,3,year3,autumn,2,2,breathe,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
233,3,year3,autumn,2,2,build,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
234,3,year3,autumn,2,2,business,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
235,3,year3,autumn,2,2,busy,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
236,3,year3,autumn,2,2,calendar,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
237,3,year3,autumn,2,2,caught,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
238,3,year3,autumn,3,3,centre,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
239,3,year3,autumn,3,3,century,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
240,3,year3,autumn,3,3,certain,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
241,3,year3,autumn,3,3,circle,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
242,3,year3,autumn,3,3,complete,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
243,3,year3,autumn,3,3,consider,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
244,3,year3,autumn,3,3,continue,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
245,3,year3,autumn,3,3,decide,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
246,3,year3,autumn,3,3,describe,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
247,3,year3,autumn,3,3,different,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
248,3,year3,autumn,3,3,difficult,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
249,3,year3,autumn,3,3,disappear,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
250,3,year3,autumn,3,3,early,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
251,3,year3,autumn,3,3,earth,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
252,3,year3,autumn,3,3,eight,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
253,3,year3,autumn,4,4,February,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
254,3,year3,autumn,4,4,eighth,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
255,3,year3,autumn,4,4,enough,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
256,3,year3,autumn,4,4,exercise,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
257,3,year3,autumn,4,4,experience,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
258,3,year3,autumn,4,4,experiment,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
259,3,year3,autumn,4,4,extreme,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
260,3,year3,autumn,4,4,famous,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
261,3,year3,autumn,4,4,favourite,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
262,3,year3,autumn,4,4,forward,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
263,3,year3,autumn,4,4,fruit,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
264,3,year3,autumn,4,4,grammar,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
265,3,year3,autumn,4,4,group,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
266,3,year3,autumn,4,4,guard,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
267,3,year3,autumn,4,4,guide,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
268,3,year3,autumn,5,5,beginner,rule-example,,3,doubling the final consonant before a vowel suffix (stressed syllable),yes,,todo,,,,
269,3,year3,autumn,5,5,beginning,rule-example,,3,doubling the final consonant before a vowel suffix (stressed syllable),yes,,todo,,,,
270,3,year3,autumn,5,5,forgetting,rule-example,,2,doubling the final consonant before a vowel suffix (stressed syllable),yes,,todo,,,,
271,3,year3,autumn,5,5,forgotten,rule-example,,2,doubling the final consonant before a vowel suffix (stressed syllable),yes,,todo,,,,
272,3,year3,autumn,5,5,gardener,rule-example,,3,no doubling when the final syllable is unstressed,yes,,todo,,,,
273,3,year3,autumn,5,5,gardening,rule-example,,3,no doubling when the final syllable is unstressed,yes,,todo,,,,
274,3,year3,autumn,5,5,heard,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
275,3,year3,autumn,5,5,heart,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
276,3,year3,autumn,5,5,height,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
277,3,year3,autumn,5,5,history,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
278,3,year3,autumn,5,5,imagine,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
279,3,year3,autumn,5,5,limited,rule-example,,3,no doubling when the final syllable is unstressed,yes,,todo,,,,
280,3,year3,autumn,5,5,limiting,rule-example,,3,no doubling when the final syllable is unstressed,yes,,todo,,,,
281,3,year3,autumn,5,5,prefer,rule-example,,3,doubling the final consonant before a vowel suffix (stressed syllable),yes,,todo,,,,
282,3,year3,autumn,5,5,preferred,rule-example,,3,doubling the final consonant before a vowel suffix (stressed syllable),yes,,todo,,,,
283,3,year3,autumn,6,6,Egypt,rule-example,,3,the /ɪ/ sound spelt y mid-word,yes,,todo,,,,
284,3,year3,autumn,6,6,country,rule-example,,3,the /ʌ/ sound spelt ou,yes,,todo,,,,
285,3,year3,autumn,6,6,disagree,rule-example,,3,prefix dis-,yes,,todo,,,,
286,3,year3,autumn,6,6,disappoint,rule-example,,3,prefix dis-,yes,,todo,,,,
287,3,year3,autumn,6,6,disobey,rule-example,,3,prefix dis-,yes,,todo,,,,
288,3,year3,autumn,6,6,double,rule-example,,3,the /ʌ/ sound spelt ou,yes,,todo,,,,
289,3,year3,autumn,6,6,gym,rule-example,,3,the /ɪ/ sound spelt y mid-word,yes,,todo,,,,
290,3,year3,autumn,6,6,limitation,rule-example,,3,no doubling when the final syllable is unstressed,yes,,todo,,,,
291,3,year3,autumn,6,6,misbehave,rule-example,,3,prefix mis-,yes,,todo,,,,
292,3,year3,autumn,6,6,mystery,rule-example,,3,the /ɪ/ sound spelt y mid-word,yes,,todo,,,,
293,3,year3,autumn,6,6,myth,rule-example,,3,the /ɪ/ sound spelt y mid-word,yes,,todo,,,,
294,3,year3,autumn,6,6,pyramid,rule-example,,3,the /ɪ/ sound spelt y mid-word,yes,,todo,,,,
295,3,year3,autumn,6,6,touch,rule-example,,3,the /ʌ/ sound spelt ou,yes,,todo,,,,
296,3,year3,autumn,6,6,trouble,rule-example,,3,the /ʌ/ sound spelt ou,yes,,todo,,,,
297,3,year3,autumn,6,6,young,rule-example,,3,the /ʌ/ sound spelt ou,yes,,todo,,,,
298,3,year3,autumn,7,7,illegal,rule-example,,4,prefix in- becomes il- before l,yes,,todo,,,,
299,3,year3,autumn,7,7,illegible,rule-example,,4,prefix in- becomes il- before l,yes,,todo,,,,
300,3,year3,autumn,7,7,immature,rule-example,,4,prefix in- becomes im- before m/p,yes,,todo,,,,
301,3,year3,autumn,7,7,immortal,rule-example,,4,prefix in- becomes im- before m/p,yes,,todo,,,,
302,3,year3,autumn,7,7,impatient,rule-example,,4,prefix in- becomes im- before m/p,yes,,todo,,,,
303,3,year3,autumn,7,7,imperfect,rule-example,,4,prefix in- becomes im- before m/p,yes,,todo,,,,
304,3,year3,autumn,7,7,impossible,rule-example,,4,prefix in- becomes im- before m/p,yes,,todo,,,,
305,3,year3,autumn,7,7,inactive,rule-example,,3,prefix in- meaning 'not',yes,,todo,,,,
306,3,year3,autumn,7,7,incorrect,rule-example,,4,prefix in- meaning 'not',yes,,todo,,,,
307,3,year3,autumn,7,7,irregular,rule-example,,4,prefix in- becomes ir- before r,yes,,todo,,,,
308,3,year3,autumn,7,7,irrelevant,rule-example,,4,prefix in- becomes ir- before r,yes,,todo,,,,
309,3,year3,autumn,7,7,irresponsible,rule-example,,4,prefix in- becomes ir- before r,yes,,todo,,,,
310,3,year3,autumn,7,7,mislead,rule-example,,3,prefix mis-,yes,,todo,,,,
311,3,year3,autumn,7,7,misspell,rule-example,,3,prefix mis-,yes,,todo,,,,
312,3,year3,autumn,7,7,redo,rule-example,,4,prefix re- meaning again/back,yes,,todo,,,,
313,3,year3,autumn,8,8,antiseptic,rule-example,,5,prefix anti- meaning against,yes,,todo,,,,
314,3,year3,autumn,8,8,interact,rule-example,,4,prefix inter- meaning between/among,yes,,todo,,,,
315,3,year3,autumn,8,8,intercity,rule-example,,4,prefix inter- meaning between/among,yes,,todo,,,,
316,3,year3,autumn,8,8,international,rule-example,,4,prefix inter- meaning between/among,yes,,todo,,,,
317,3,year3,autumn,8,8,reappear,rule-example,,4,prefix re- meaning again/back,yes,,todo,,,,
318,3,year3,autumn,8,8,redecorate,rule-example,,4,prefix re- meaning again/back,yes,,todo,,,,
319,3,year3,autumn,8,8,refresh,rule-example,,4,prefix re- meaning again/back,yes,,todo,,,,
320,3,year3,autumn,8,8,return,rule-example,,4,prefix re- meaning again/back,yes,,todo,,,,
321,3,year3,autumn,8,8,subdivide,rule-example,,4,prefix sub- meaning under,yes,,todo,,,,
322,3,year3,autumn,8,8,subheading,rule-example,,4,prefix sub- meaning under,yes,,todo,,,,
323,3,year3,autumn,8,8,submarine,rule-example,,4,prefix sub- meaning under,yes,,todo,,,,
324,3,year3,autumn,8,8,submerge,rule-example,,4,prefix sub- meaning under,yes,,todo,,,,
325,3,year3,autumn,8,8,superman,rule-example,,4,prefix super- meaning above,yes,,todo,,,,
326,3,year3,autumn,8,8,supermarket,rule-example,,4,prefix super- meaning above,yes,,todo,,,,
327,3,year3,autumn,8,8,superstar,rule-example,,4,prefix super- meaning above,yes,,todo,,,,
328,3,year3,autumn,9,9,admiration,rule-example,,5,suffix -ation added to verbs to form nouns,yes,,todo,,,,
329,3,year3,autumn,9,9,adoration,rule-example,,5,suffix -ation added to verbs to form nouns,yes,,todo,,,,
330,3,year3,autumn,9,9,angrily,rule-example,,5,suffix -ly: y changes to i for multi-syllable words,yes,,todo,,,,
331,3,year3,autumn,9,9,antisocial,rule-example,,5,prefix anti- meaning against,yes,,todo,,,,
332,3,year3,autumn,9,9,autobiography,rule-example,,5,prefix auto- meaning self/own,yes,,todo,,,,
333,3,year3,autumn,9,9,autograph,rule-example,,5,prefix auto- meaning self/own,yes,,todo,,,,
334,3,year3,autumn,9,9,comically,rule-example,,5,suffix -ly added to adjectives to form adverbs,yes,,todo,,,,
335,3,year3,autumn,9,9,completely,rule-example,,5,suffix -ly added to adjectives to form adverbs,yes,,todo,,,,
336,3,year3,autumn,9,9,finally,rule-example,,5,suffix -ly added to adjectives to form adverbs,yes,,todo,,,,
337,3,year3,autumn,9,9,happily,rule-example,,5,suffix -ly: y changes to i for multi-syllable words,yes,,todo,,,,
338,3,year3,autumn,9,9,information,rule-example,,5,suffix -ation added to verbs to form nouns,yes,,todo,,,,
339,3,year3,autumn,9,9,preparation,rule-example,,5,suffix -ation added to verbs to form nouns,yes,,todo,,,,
340,3,year3,autumn,9,9,sadly,rule-example,,5,suffix -ly added to adjectives to form adverbs,yes,,todo,,,,
341,3,year3,autumn,9,9,sensation,rule-example,,5,suffix -ation added to verbs to form nouns,yes,,todo,,,,
342,3,year3,autumn,9,9,usually,rule-example,,5,suffix -ly added to adjectives to form adverbs,yes,,todo,,,,
343,3,year3,autumn,10,10,basically,rule-example,,5,suffix -ly: -ic takes -ally instead,yes,,todo,,,,
344,3,year3,autumn,10,10,dramatically,rule-example,,5,suffix -ly: -ic takes -ally instead,yes,,todo,,,,
345,3,year3,autumn,10,10,duly,rule-example,,5,suffix -ly exception words,yes,,todo,,,,
346,3,year3,autumn,10,10,frantically,rule-example,,5,suffix -ly: -ic takes -ally instead,yes,,todo,,,,
347,3,year3,autumn,10,10,gently,rule-example,,5,suffix -ly: -le changes to -ly,yes,,todo,,,,
348,3,year3,autumn,10,10,humbly,rule-example,,5,suffix -ly: -le changes to -ly,yes,,todo,,,,
349,3,year3,autumn,10,10,nobly,rule-example,,5,suffix -ly: -le changes to -ly,yes,,todo,,,,
350,3,year3,autumn,10,10,simply,rule-example,,5,suffix -ly: -le changes to -ly,yes,,todo,,,,
351,3,year3,autumn,10,10,truly,rule-example,,5,suffix -ly exception words,yes,,todo,,,,
352,3,year3,autumn,10,10,wholly,rule-example,,5,suffix -ly exception words,yes,,todo,,,,
353,4,year4,autumn,2,2,important,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
354,4,year4,autumn,2,2,increase,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
355,4,year4,autumn,2,2,interest,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
356,4,year4,autumn,2,2,island,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
357,4,year4,autumn,2,2,knowledge,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
358,4,year4,autumn,2,2,learn,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
359,4,year4,autumn,2,2,length,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
360,4,year4,autumn,2,2,library,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
361,4,year4,autumn,2,2,material,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
362,4,year4,autumn,2,2,medicine,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
363,4,year4,autumn,2,2,mention,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
364,4,year4,autumn,2,2,minute,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
365,4,year4,autumn,2,2,natural,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
366,4,year4,autumn,2,2,naughty,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
367,4,year4,autumn,2,2,notice,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
368,4,year4,autumn,3,3,occasionally,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
369,4,year4,autumn,3,3,often,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
370,4,year4,autumn,3,3,opposite,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
371,4,year4,autumn,3,3,ordinary,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
372,4,year4,autumn,3,3,particular,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
373,4,year4,autumn,3,3,peculiar,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
374,4,year4,autumn,3,3,perhaps,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
375,4,year4,autumn,3,3,popular,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
376,4,year4,autumn,3,3,position,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
377,4,year4,autumn,3,3,possession,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
378,4,year4,autumn,3,3,possible,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
379,4,year4,autumn,3,3,potatoes,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
380,4,year4,autumn,3,3,pressure,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
381,4,year4,autumn,3,3,probably,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
382,4,year4,autumn,3,3,promise,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
383,4,year4,autumn,4,4,purpose,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
384,4,year4,autumn,4,4,quarter,statutory-word-list,yes,1,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
385,4,year4,autumn,4,4,question,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
386,4,year4,autumn,4,4,recent,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
387,4,year4,autumn,4,4,regular,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
388,4,year4,autumn,4,4,reign,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
389,4,year4,autumn,4,4,remember,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
390,4,year4,autumn,4,4,sentence,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
391,4,year4,autumn,4,4,separate,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
392,4,year4,autumn,4,4,special,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
393,4,year4,autumn,4,4,straight,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
394,4,year4,autumn,4,4,strange,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
395,4,year4,autumn,4,4,strength,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
396,4,year4,autumn,4,4,suppose,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
397,4,year4,autumn,4,4,surprise,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
398,4,year4,autumn,5,5,although,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
399,4,year4,autumn,5,5,creature,rule-example,,2,-ture ending for /tʃə/,yes,,todo,,,,
400,4,year4,autumn,5,5,enclosure,rule-example,,2,-sure ending for /ʒə/,yes,,todo,,,,
401,4,year4,autumn,5,5,furniture,rule-example,,2,-ture ending for /tʃə/,yes,,todo,,,,
402,4,year4,autumn,5,5,picture,rule-example,,2,-ture ending for /tʃə/,yes,,todo,,,,
403,4,year4,autumn,5,5,pleasure,rule-example,,2,-sure ending for /ʒə/,yes,,todo,,,,
404,4,year4,autumn,5,5,therefore,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
405,4,year4,autumn,5,5,thought,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
406,4,year4,autumn,5,5,through,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
407,4,year4,autumn,5,5,various,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
408,4,year4,autumn,5,5,woman,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 3/4),yes,,todo,,,,
